run,key,epsilon,lamb_dfl,c_dfl,lamb_lr,w_dfl,w_lr,trainloss_dfl,trainacc_dfl,traindq_dfl,testloss_dfl,testacc_dfl,testdq_dfl,trainloss_lr,trainacc_lr,traindq_lr,testloss_lr,testacc_lr,testdq_lr
31,eps0.2_lambdfl0.5_lamblr10.0,0.2,0.5,10.0,10.0,12.141890928824171,0.0961077086120458,0.6528810791857842,0.661,0.163,0.6454119789125901,0.676,0.169,0.6928189427081931,0.529,0.031,0.692912671059455,0.525,0.018
32,eps0.2_lambdfl0.5_lamblr10.0,0.2,0.5,0.2,10.0,703.2871917073625,0.1065997633200045,15.685712010567146,0.572,0.074,16.91185867334928,0.559,0.052,0.6931010874819107,0.489,-0.009,0.6928193186359966,0.518,0.011
33,eps0.2_lambdfl0.5_lamblr10.0,0.2,0.5,0.5,10.0,215.56248964287343,0.1005799217884434,3.020804511383818,0.649,0.151,3.132490991062529,0.635,0.128,0.6921588811272786,0.623,0.125,0.692210275114181,0.6,0.093
34,eps0.2_lambdfl0.5_lamblr10.0,0.2,0.5,1.0,10.0,139.8679327086394,0.1033968001514083,2.286325822571777,0.619,0.121,2.3369436828447023,0.618,0.111,0.692547001207728,0.544,0.046,0.6925278798624933,0.546,0.039
35,eps0.2_lambdfl0.5_lamblr10.0,0.2,0.5,0.2,10.0,595.7153338587151,0.1144421375432103,10.308294041143863,0.648,0.15,9.799894956348275,0.64,0.133,0.6921015165778172,0.527,0.029,0.6923701465754527,0.514,0.007
36,eps0.2_lambdfl0.5_lamblr10.0,0.2,0.5,2.0,10.0,64.13357446306284,0.0994831638131115,1.1153078795993407,0.589,0.091,1.1878765667592015,0.578,0.071,0.6929223167325687,0.541,0.043,0.6930784779721139,0.53,0.023
37,eps0.2_lambdfl0.5_lamblr10.0,0.2,0.5,0.5,10.0,229.7881487738209,0.0805885343586562,4.137362848170356,0.551,0.053,4.214763606842796,0.56,0.053,0.6930395701381167,0.518,0.02,0.6928939596042653,0.533,0.026
38,eps0.2_lambdfl0.5_lamblr10.0,0.2,0.5,8.0,10.0,15.658456186099066,0.1012994865347212,0.6995741336636596,0.58,0.082,0.7144662021464766,0.585,0.078,0.6934934090886314,0.484,-0.014,0.6934791789601008,0.478,-0.029
39,eps0.2_lambdfl0.5_lamblr10.0,0.2,0.5,0.1,10.0,1362.7323524995234,0.12365384312877,24.661364739681023,0.588,0.09,27.768588604660035,0.576,0.069,0.6923374305932993,0.596,0.098,0.6923098392962624,0.589,0.082
40,eps0.2_lambdfl0.5_lamblr10.0,0.2,0.5,0.5,10.0,261.3973969031238,0.0884439220653377,3.884973717986548,0.664,0.166,4.25931630270143,0.652,0.145,0.6921352412121907,0.592,0.094,0.69231857973941,0.557,0.05
41,eps0.2_lambdfl0.5_lamblr10.0,0.2,0.5,0.5,10.0,233.98067714481996,0.0955825891602681,3.553577756687031,0.68,0.182,3.9647023991326673,0.653,0.146,0.6926172157167599,0.568,0.07,0.6925141936366987,0.568,0.061
42,eps0.2_lambdfl0.5_lamblr10.0,0.2,0.5,5.0,10.0,26.388689208811464,0.1020436967717032,0.7632303541948559,0.581,0.083,0.7953053623341182,0.569,0.062,0.6926619154088087,0.515,0.017,0.6925016072173887,0.533,0.026
43,eps0.2_lambdfl0.5_lamblr10.0,0.2,0.5,10.0,10.0,14.737890848741117,0.0981412204323173,0.6871716161949967,0.619,0.121,0.6737417285355655,0.621,0.114,0.6919867167352686,0.564,0.066,0.6921190950804672,0.554,0.047
44,eps0.2_lambdfl0.5_lamblr10.0,0.2,0.5,2.0,10.0,69.69639223175025,0.0886170508528952,2.235397651043012,0.55,0.052,2.4046508206679507,0.538,0.031,0.6926199651650524,0.558,0.06,0.6925266339042613,0.559,0.052
45,eps0.2_lambdfl0.5_lamblr10.0,0.2,0.5,0.2,10.0,607.0251248945608,0.1045682951203111,13.228699731320658,0.54,0.042,12.488951500800962,0.542,0.035,0.6909487000031768,0.568,0.07,0.6913345084234207,0.538,0.031
46,eps0.2_lambdfl0.5_lamblr10.0,0.2,0.5,5.0,10.0,25.392245820289613,0.0896402231494841,1.0289670850251644,0.542,0.044,1.0365883111000276,0.517,0.01,0.6937884682049008,0.454,-0.044,0.6940041317957611,0.425,-0.082
47,eps0.2_lambdfl0.5_lamblr10.0,0.2,0.5,5.0,10.0,24.40552052467048,0.0954434336373748,0.8931350003143469,0.567,0.069,0.9637727107593012,0.515,0.008,0.6927495599314456,0.51,0.012,0.6928466085849843,0.527,0.02
48,eps0.2_lambdfl0.5_lamblr10.0,0.2,0.5,0.2,10.0,655.6571305345223,0.1105057222248108,9.454932097988124,0.633,0.135,9.544192127402864,0.638,0.131,0.6923096550204177,0.611,0.113,0.6922841227083545,0.612,0.105
49,eps0.2_lambdfl0.5_lamblr10.0,0.2,0.5,1.0,10.0,110.16028084793037,0.1077560222131261,2.033193992131776,0.602,0.104,1.9387806900906732,0.593,0.086,0.6929476796824479,0.546,0.048,0.6930615832546257,0.502,-0.005
50,eps0.2_lambdfl0.5_lamblr10.0,0.2,0.5,1.0,10.0,123.29898343230457,0.1163048289513523,2.237947084354975,0.546,0.048,2.1656445182853656,0.537,0.03,0.6939076537672156,0.46,-0.038,0.6938930788154284,0.465,-0.042
51,eps0.2_lambdfl0.5_lamblr10.0,0.2,0.5,5.0,10.0,23.739625658851548,0.1021527739373986,0.7380602026268348,0.586,0.088,0.7082681197127234,0.599,0.092,0.6920070476363374,0.616,0.118,0.6921695294654592,0.592,0.085
52,eps0.2_lambdfl0.5_lamblr10.0,0.2,0.5,0.1,10.0,1322.5455906652355,0.0946307410218039,22.22323991064455,0.634,0.136,24.224849004066662,0.633,0.126,0.6924057266265838,0.557,0.059,0.6924479259489683,0.556,0.049
53,eps0.2_lambdfl0.5_lamblr10.0,0.2,0.5,8.0,10.0,15.485418926239348,0.10244986074976,0.6704573046814774,0.627,0.129,0.6795291969067448,0.625,0.118,0.6941003570499324,0.369,-0.129,0.6939566151631585,0.381,-0.126
54,eps0.2_lambdfl0.5_lamblr10.0,0.2,0.5,0.5,10.0,261.77200104028617,0.0955770273451492,15.635204990090717,0.489,-0.009,14.896197067428703,0.508,0.001,0.6927689153341184,0.567,0.069,0.6926709182152642,0.586,0.079
55,eps0.2_lambdfl0.5_lamblr10.0,0.2,0.5,0.5,10.0,260.6558890804412,0.1081675137262312,4.679554889584214,0.617,0.119,4.853656045393865,0.551,0.044,0.6925208314993074,0.537,0.039,0.6924987854221907,0.552,0.045
56,eps0.2_lambdfl0.5_lamblr10.0,0.2,0.5,2.0,10.0,63.1769887206512,0.1000000426561428,1.0713519373590583,0.659,0.161,1.1307909831304606,0.628,0.121,0.692547709058513,0.561,0.063,0.6927459997217166,0.551,0.044
57,eps0.2_lambdfl0.5_lamblr10.0,0.2,0.5,10.0,10.0,9.9920679616957,0.0948603253833171,0.6298598507016234,0.664,0.166,0.6394927247984238,0.65,0.143,0.692335170094105,0.533,0.035,0.6922022425837009,0.555,0.048
58,eps0.2_lambdfl0.5_lamblr10.0,0.2,0.5,0.5,10.0,238.9042616067233,0.1045819994979349,13.430750950178052,0.533,0.035,14.018006315684898,0.512,0.005,0.6933491495277516,0.496,-0.002,0.6932040352985355,0.513,0.006
59,eps0.2_lambdfl0.5_lamblr10.0,0.2,0.5,2.0,10.0,55.89108951341869,0.0768742464383868,1.5681917802761378,0.571,0.073,1.640594610409904,0.572,0.065,0.6927646690956198,0.544,0.046,0.6926779494404455,0.56,0.053
60,eps0.2_lambdfl0.5_lamblr10.0,0.2,0.5,5.0,10.0,25.25631450708406,0.0919418051862012,0.7875038021362678,0.619,0.121,0.8275451591846648,0.585,0.078,0.6918543804532848,0.653,0.155,0.6918163226307937,0.648,0.141
61,eps0.2_lambdfl0.5_lamblr10.0,0.2,0.5,2.0,10.0,69.1512073624148,0.0868198317297663,1.4623683611024376,0.66,0.162,1.5198109059731402,0.642,0.135,0.6920035091886086,0.657,0.159,0.6919617742176462,0.67,0.163
62,eps0.2_lambdfl0.5_lamblr10.0,0.2,0.5,0.2,10.0,658.6986509054425,0.1048787477210003,22.579946908293905,0.55,0.052,22.62608842190151,0.544,0.037,0.6922498923050859,0.544,0.046,0.692479499314267,0.537,0.03
63,eps0.2_lambdfl0.5_lamblr10.0,0.2,0.5,0.1,10.0,1213.9376787375113,0.0886067507170405,23.30864566589185,0.585,0.087,23.44926948224068,0.585,0.078,0.6928901351461652,0.529,0.031,0.6929674029765802,0.51,0.003
64,eps0.2_lambdfl0.5_lamblr10.0,0.2,0.5,10.0,10.0,12.109398241164346,0.1065024839625823,0.6567563291448353,0.646,0.148,0.6658358535088647,0.63,0.123,0.6935080173672493,0.443,-0.055,0.6936065486855396,0.445,-0.062
65,eps0.2_lambdfl0.5_lamblr10.0,0.2,0.5,0.2,10.0,686.3480361649052,0.1073901614362171,15.700611568595988,0.565,0.067,16.15731647652693,0.551,0.044,0.6913610454461746,0.55,0.052,0.6916882874306358,0.529,0.022
66,eps0.2_lambdfl0.5_lamblr10.0,0.2,0.5,0.2,10.0,658.4647696984177,0.0885129227273822,12.499735626626578,0.596,0.098,13.02888123839708,0.598,0.091,0.6920263878197431,0.624,0.126,0.6920924657581752,0.635,0.128
67,eps0.2_lambdfl0.5_lamblr10.0,0.2,0.5,1.0,10.0,138.26453089774208,0.1019076565200252,2.5494454928538017,0.633,0.135,2.432167872804401,0.657,0.15,0.6917253060806151,0.619,0.121,0.6920774719752701,0.578,0.071
68,eps0.2_lambdfl0.5_lamblr10.0,0.2,0.5,0.1,10.0,1192.5425967059489,0.1063193228096355,32.8147833229138,0.62,0.122,34.87576709417004,0.606,0.099,0.6920250641206328,0.642,0.144,0.6922214725668142,0.615,0.108
69,eps0.2_lambdfl0.5_lamblr10.0,0.2,0.5,0.1,10.0,1184.3820204512049,0.0847484869333696,20.422420953527684,0.711,0.213,19.77380742455482,0.715,0.208,0.6939948630803656,0.447,-0.051,0.6939920187004345,0.442,-0.065
70,eps0.2_lambdfl0.5_lamblr10.0,0.2,0.5,0.2,10.0,752.1323211806354,0.1034371048870391,25.885929221944963,0.605,0.107,26.05697640154568,0.599,0.092,0.690949390194489,0.732,0.234,0.691170685846494,0.704,0.197
71,eps0.2_lambdfl0.5_lamblr10.0,0.2,0.5,8.0,10.0,14.6712516862349,0.110979050728442,0.6862440775291007,0.58,0.082,0.70236430805141,0.553,0.046,0.6926829286852222,0.498,0.0,0.692816378041957,0.489,-0.018
72,eps0.2_lambdfl0.5_lamblr10.0,0.2,0.5,5.0,10.0,24.393961671223945,0.1097107243912254,0.9010078294869543,0.555,0.057,0.9495365689274848,0.534,0.027,0.6930000009102817,0.508,0.01,0.6927881726321823,0.516,0.009
73,eps0.2_lambdfl0.5_lamblr10.0,0.2,0.5,1.0,10.0,120.43267992269352,0.0936474065830794,2.4494983917167463,0.571,0.073,2.3599646870874387,0.57,0.063,0.6929693440960221,0.531,0.033,0.6928583061572872,0.544,0.037
74,eps0.2_lambdfl0.5_lamblr10.0,0.2,0.5,1.0,10.0,113.34675295622785,0.110897034287936,1.9443002236131088,0.584,0.086,1.9662911225032351,0.601,0.094,0.6924775984595407,0.594,0.096,0.6925459825149974,0.585,0.078
75,eps0.2_lambdfl0.5_lamblr10.0,0.2,0.5,10.0,10.0,12.537771742913494,0.0985698859246666,0.6623425207563802,0.596,0.098,0.6800257267970968,0.585,0.078,0.6925637448249613,0.538,0.04,0.6927375600661398,0.522,0.015
76,eps0.2_lambdfl0.5_lamblr10.0,0.2,0.5,8.0,10.0,15.46570470501571,0.1172384036186374,0.686553707224808,0.606,0.108,0.6987135844314213,0.617,0.11,0.693927411721448,0.445,-0.053,0.6937112145219131,0.459,-0.048
77,eps0.2_lambdfl0.5_lamblr10.0,0.2,0.5,5.0,10.0,24.009411708867237,0.1016211021007553,0.8279582850071858,0.579,0.081,0.8368927659983492,0.58,0.073,0.6929070995772879,0.519,0.021,0.6930276863715463,0.519,0.012
78,eps0.2_lambdfl0.5_lamblr10.0,0.2,0.5,10.0,10.0,13.549343728270728,0.0822485840218448,0.7423710410768601,0.528,0.03,0.7275115972087242,0.554,0.047,0.693335250167124,0.499,0.001,0.6932325983941763,0.519,0.012
79,eps0.2_lambdfl0.5_lamblr10.0,0.2,0.5,0.5,10.0,270.9071078202481,0.096358000371923,8.08256012662236,0.547,0.049,7.60011065321075,0.563,0.056,0.6915781152724294,0.671,0.173,0.6918863531872728,0.629,0.122
80,eps0.2_lambdfl0.5_lamblr10.0,0.2,0.5,10.0,10.0,13.08058241218286,0.0965368753823082,0.7341839079955734,0.579,0.081,0.7789020810382221,0.566,0.059,0.6926314989854058,0.558,0.06,0.6925925272819073,0.544,0.037
81,eps0.2_lambdfl0.5_lamblr10.0,0.2,0.5,0.2,10.0,540.0205534590764,0.0863438845927492,13.234424087509057,0.519,0.021,13.696605311415093,0.537,0.03,0.6924909122155302,0.577,0.079,0.6925309841010546,0.578,0.071
82,eps0.2_lambdfl0.5_lamblr10.0,0.2,0.5,10.0,10.0,12.15858624354873,0.1085868041016316,0.6418507501812444,0.631,0.133,0.6765869807556326,0.608,0.101,0.6934056694192934,0.453,-0.045,0.6934007649231076,0.485,-0.022
83,eps0.2_lambdfl0.5_lamblr10.0,0.2,0.5,10.0,10.0,9.837203710343015,0.0910251911274816,0.7384751079840569,0.521,0.023,0.7400542923510073,0.522,0.015,0.6916202254479312,0.537,0.039,0.6919743048007886,0.517,0.01
84,eps0.2_lambdfl0.5_lamblr10.0,0.2,0.5,1.0,10.0,115.708481002433,0.0913152490032453,2.605896520778395,0.605,0.107,2.6774173033487694,0.584,0.077,0.6925716430085301,0.568,0.07,0.6927479104150804,0.528,0.021
85,eps0.2_lambdfl0.5_lamblr10.0,0.2,0.5,0.2,10.0,626.5892590352754,0.1116004708114546,11.295479802472448,0.629,0.131,12.069070760346978,0.599,0.092,0.6916269582700263,0.588,0.09,0.6918158944828399,0.553,0.046
86,eps0.2_lambdfl0.5_lamblr10.0,0.2,0.5,1.0,10.0,115.80417979454737,0.0975957697622237,3.731666313811621,0.611,0.113,4.2178004783154,0.586,0.079,0.6936337907459051,0.469,-0.029,0.6934530458692175,0.502,-0.005
87,eps0.2_lambdfl0.5_lamblr10.0,0.2,0.5,1.0,10.0,132.2917284112702,0.0759178139534058,2.276531322925684,0.662,0.164,2.5830809236609444,0.643,0.136,0.6930188059609568,0.508,0.01,0.693165491430221,0.501,-0.006
88,eps0.2_lambdfl0.5_lamblr10.0,0.2,0.5,0.2,10.0,714.8963002789318,0.1070590169267088,15.424603340349604,0.586,0.088,14.32048916341929,0.582,0.075,0.6933310267061198,0.461,-0.037,0.6932277813589269,0.48,-0.027
89,eps0.2_lambdfl0.5_lamblr10.0,0.2,0.5,0.1,10.0,1328.874956965401,0.0955510813690747,27.5441051191502,0.544,0.046,27.52756805316705,0.577,0.07,0.6925608951779095,0.6,0.102,0.6927787377278405,0.59,0.083
90,eps0.2_lambdfl0.5_lamblr10.0,0.2,0.5,5.0,10.0,27.068747960262915,0.0954715880965793,1.018102621439306,0.592,0.094,1.091557039477378,0.563,0.056,0.6929755629828506,0.533,0.035,0.6929116638592389,0.551,0.044
91,eps0.2_lambdfl0.5_lamblr10.0,0.2,0.5,10.0,10.0,12.591494834731895,0.1050142117781686,0.7138394263668726,0.558,0.06,0.6862254481667046,0.581,0.074,0.692078207949038,0.553,0.055,0.6922115433568272,0.546,0.039
92,eps0.2_lambdfl0.5_lamblr10.0,0.2,0.5,1.0,10.0,109.44932763650444,0.090345056533405,2.6187140298497478,0.543,0.045,2.677777031335454,0.52,0.013,0.6923793076944375,0.593,0.095,0.6923620895016022,0.596,0.089
93,eps0.2_lambdfl0.5_lamblr10.0,0.2,0.5,1.0,10.0,119.71331794390125,0.1042692716590856,1.851290550436,0.621,0.123,2.2606555984091337,0.565,0.058,0.6924412886161547,0.522,0.024,0.692808008627446,0.496,-0.011
94,eps0.2_lambdfl0.5_lamblr10.0,0.2,0.5,0.2,10.0,755.9034885282787,0.1050157855850465,13.334586030099375,0.567,0.069,14.343392250799544,0.565,0.058,0.692697783980193,0.552,0.054,0.692692884813038,0.553,0.046
95,eps0.2_lambdfl0.5_lamblr10.0,0.2,0.5,8.0,10.0,15.549669117232792,0.0976988678288343,0.7235311170902189,0.595,0.097,0.7071161417847162,0.605,0.098,0.6929487339270567,0.508,0.01,0.6929202811666058,0.503,-0.004
96,eps0.2_lambdfl0.5_lamblr10.0,0.2,0.5,5.0,10.0,24.35640557105314,0.0929107722164152,0.7250395160396906,0.579,0.081,0.7552579619848385,0.574,0.067,0.6938205484337452,0.411,-0.087,0.6937116516615197,0.431,-0.076
97,eps0.2_lambdfl0.5_lamblr10.0,0.2,0.5,0.5,10.0,219.52645104284045,0.1028006234421537,3.948761382467624,0.612,0.114,4.345350946813407,0.593,0.086,0.6929486670963821,0.56,0.062,0.6928520490346995,0.549,0.042
98,eps0.2_lambdfl0.5_lamblr10.0,0.2,0.5,0.2,10.0,630.1599972121471,0.105987804165937,11.20903058608998,0.566,0.068,12.719466098923048,0.549,0.042,0.6915600305409735,0.578,0.08,0.6917529147415176,0.574,0.067
99,eps0.2_lambdfl0.5_lamblr10.0,0.2,0.5,8.0,10.0,15.807650803006252,0.101953654265999,0.8411676395500277,0.553,0.055,0.8419108419299611,0.531,0.024,0.693138762696252,0.519,0.021,0.6932839427287197,0.507,0.0
0,eps1.0_lambdfl1.0_lamblr10.0,1.0,1.0,8.0,10.0,1.5878908826584546,0.021037969876051,0.6787171429655994,0.614,0.116,0.6790228597443705,0.61,0.103,0.6927612099303385,0.687,0.189,0.6928009231710124,0.676,0.169
1,eps1.0_lambdfl1.0_lamblr10.0,1.0,1.0,2.0,10.0,5.831678839599829,0.0232779972355991,0.6420641005875455,0.662,0.164,0.6352689768303273,0.668,0.161,0.6927198896169593,0.602,0.104,0.6927702145391578,0.585,0.078
2,eps1.0_lambdfl1.0_lamblr10.0,1.0,1.0,2.0,10.0,6.739771758630811,0.0185547952896793,0.6607779715884899,0.611,0.113,0.6621247021571582,0.632,0.125,0.6926468688445921,0.724,0.226,0.6926752233914663,0.712,0.205
3,eps1.0_lambdfl1.0_lamblr10.0,1.0,1.0,2.0,10.0,5.9471593328832055,0.0210249647868662,0.6859367243900928,0.581,0.083,0.6808551184266698,0.581,0.074,0.6924659948047839,0.734,0.236,0.6924710882003178,0.735,0.228
4,eps1.0_lambdfl1.0_lamblr10.0,1.0,1.0,0.2,10.0,60.8633460261903,0.0204263947160526,1.5504408274419232,0.603,0.105,1.4885444048060894,0.605,0.098,0.6925738425295523,0.765,0.267,0.6926041411601789,0.75,0.243
5,eps1.0_lambdfl1.0_lamblr10.0,1.0,1.0,0.5,10.0,25.218807920182947,0.023163507017276,0.8094481616528408,0.564,0.066,0.8269893408080207,0.569,0.062,0.692690462825486,0.654,0.156,0.692752477084377,0.641,0.134
6,eps1.0_lambdfl1.0_lamblr10.0,1.0,1.0,10.0,10.0,1.273961438875108,0.0211290421697456,0.6771664548600157,0.642,0.144,0.6794810446771319,0.639,0.132,0.6925714765275743,0.597,0.099,0.6926266046330531,0.588,0.081
7,eps1.0_lambdfl1.0_lamblr10.0,1.0,1.0,10.0,10.0,1.3888808951001874,0.019334051811757,0.6832381528101715,0.603,0.105,0.685530002326444,0.584,0.077,0.692584278851514,0.754,0.256,0.6926318022899729,0.741,0.234
