run,key,epsilon,lamb_dfl,c_dfl,lamb_lr,w_dfl,w_lr,trainloss_dfl,trainacc_dfl,traindq_dfl,testloss_dfl,testacc_dfl,testdq_dfl,trainloss_lr,trainacc_lr,traindq_lr,testloss_lr,testacc_lr,testdq_lr
31,eps1.0_lambdfl1.0_lamblr10.0,1.0,1.0,1.0,10.0,11.525334513559992,0.0180029521719782,0.6865316394345057,0.568,0.07,0.7003739537910094,0.561,0.054,0.6926342970658963,0.737,0.239,0.6926812807130136,0.719,0.212
32,eps1.0_lambdfl1.0_lamblr10.0,1.0,1.0,0.01,10.0,1261.5518643235869,0.0200255411918729,27.28131411036575,0.593,0.095,26.599372169683104,0.582,0.075,0.6926643685681632,0.73,0.232,0.6927062387446802,0.712,0.205
33,eps1.0_lambdfl1.0_lamblr10.0,1.0,1.0,0.1,10.0,127.2536533240897,0.020893324797325,2.656176147682016,0.539,0.041,2.56237707978808,0.561,0.054,0.6926411894929996,0.582,0.084,0.6927153659044761,0.568,0.061
34,eps1.0_lambdfl1.0_lamblr10.0,1.0,1.0,1.0,10.0,11.324341264001877,0.0198146185028956,0.6899673487381718,0.583,0.085,0.7150897139443649,0.567,0.06,0.6928061158552526,0.681,0.183,0.6928156195572153,0.696,0.189
35,eps1.0_lambdfl1.0_lamblr10.0,1.0,1.0,0.5,10.0,28.853844813386484,0.02346461403291,1.1893881971448226,0.553,0.055,1.214391525221986,0.561,0.054,0.6928282098657336,0.658,0.16,0.6928604019151844,0.646,0.139
36,eps1.0_lambdfl1.0_lamblr10.0,1.0,1.0,0.5,10.0,24.966775797675886,0.0211110566693536,0.9708862002947796,0.612,0.114,1.1158316203755714,0.593,0.086,0.6925708286085092,0.54,0.042,0.6926312695375388,0.522,0.015
37,eps1.0_lambdfl1.0_lamblr10.0,1.0,1.0,0.5,10.0,27.858714814036077,0.0213577906779073,1.061836001416952,0.519,0.021,1.0671421735225346,0.527,0.02,0.6925169338119594,0.634,0.136,0.6925925344528894,0.604,0.097
38,eps1.0_lambdfl1.0_lamblr10.0,1.0,1.0,0.01,10.0,1303.3257589077416,0.0231920037312307,32.27585385535288,0.552,0.054,32.33146863973751,0.566,0.059,0.6927149027366223,0.635,0.137,0.6927590821419018,0.612,0.105
39,eps1.0_lambdfl1.0_lamblr10.0,1.0,1.0,0.5,10.0,25.908537303077477,0.0177522770635788,0.9210251428008488,0.486,-0.012,0.901869519626131,0.493,-0.014,0.6926286313258825,0.771,0.273,0.6926855039231636,0.739,0.232
40,eps1.0_lambdfl1.0_lamblr10.0,1.0,1.0,0.01,10.0,1313.707857047163,0.0204744633373688,27.02030542450141,0.537,0.039,28.02145936834992,0.539,0.032,0.6928622287123524,0.732,0.234,0.6928811740348294,0.694,0.187
