run,key,epsilon,lamb_dfl,c_dfl,lamb_lr,w_dfl,w_lr,trainloss_dfl,trainacc_dfl,traindq_dfl,testloss_dfl,testacc_dfl,testdq_dfl,trainloss_lr,trainacc_lr,traindq_lr,testloss_lr,testacc_lr,testdq_lr
12,eps0.2_lambdfl0.5_lamblr10.0,0.2,0.5,2.0,10.0,63.10698825047636,0.1111591948940953,1.3812707116834109,0.636,0.138,1.4044380501616345,0.616,0.109,0.6918040657638803,0.638,0.14,0.6920309636205345,0.612,0.105
13,eps0.2_lambdfl0.5_lamblr10.0,0.2,0.5,0.01,10.0,12015.778218601556,0.1060724804121437,inf,0.559,0.061,inf,0.574,0.067,0.691655650284154,0.552,0.054,0.6918629534593271,0.549,0.042
14,eps0.2_lambdfl0.5_lamblr10.0,0.2,0.5,0.01,10.0,10353.542798958164,0.0996677688486035,inf,0.632,0.134,inf,0.597,0.09,0.6930269915042213,0.515,0.017,0.6931293757991578,0.514,0.007
15,eps0.2_lambdfl0.5_lamblr10.0,0.2,0.5,0.01,10.0,12475.252741589184,0.1143012344536806,inf,0.615,0.117,inf,0.598,0.091,0.692006302670422,0.508,0.01,0.6923586671415553,0.494,-0.013
16,eps0.2_lambdfl0.5_lamblr10.0,0.2,0.5,0.01,10.0,10436.667402188135,0.0798011727533433,inf,0.622,0.124,inf,0.619,0.112,0.6926168003395199,0.584,0.086,0.6927329673387751,0.557,0.05
17,eps0.2_lambdfl0.5_lamblr10.0,0.2,0.5,0.05,10.0,2407.799510543287,0.0944690704446189,49.06277760932107,0.637,0.139,54.177785414914304,0.619,0.112,0.6919302246752091,0.61,0.112,0.6921657023988605,0.588,0.081
18,eps0.2_lambdfl0.5_lamblr10.0,0.2,0.5,1.0,10.0,119.76650313268884,0.0859388210536379,1.9583557016632795,0.603,0.105,1.998083834169686,0.629,0.122,0.6935316646692341,0.443,-0.055,0.6934075773774416,0.483,-0.024
19,eps0.2_lambdfl0.5_lamblr10.0,0.2,0.5,0.5,10.0,233.6874467392253,0.0959772446413767,3.349991675173851,0.718,0.22,3.762511487122111,0.72,0.213,0.6932382735112955,0.52,0.022,0.6934146088128227,0.512,0.005
20,eps0.2_lambdfl0.5_lamblr10.0,0.2,0.5,0.01,10.0,13917.577074538363,0.0943284853837111,inf,0.647,0.149,inf,0.664,0.157,0.6927677260136641,0.528,0.03,0.6930345999545809,0.517,0.01
21,eps0.2_lambdfl0.5_lamblr10.0,0.2,0.5,2.0,10.0,53.31957313850589,0.0915092317828825,1.0681136510812157,0.638,0.14,1.0485472129055748,0.633,0.126,0.6919810053676408,0.572,0.074,0.6921895465967898,0.548,0.041
